"NVP_BID_NR","SHR_AC_NR","CUS_AC_STT_DT","CNY_CD","SIC_CD","DIS_NR","REG_NR","SHR_NA","PU_ARA_ASY_CSF_CD"
"P000022997","0000608315",31-JUL-17,"US","5661","46","03","                    ","UDS"
"P000023066","0000815721",31-JUL-17,"US","6411","92","03","                    ","SDS"
"P010031180","000009Y28E",31-JUL-17,"US","5063","86","03","                    ","BDS"
"P010031242","000046610E",31-JUL-17,"US","3714","49","07","                    ","RDS"
"P010031242","0000429495",31-JUL-17,"US","3714","49","07","                    ","BDS"
"P010031242","0000223W83",31-JUL-17,"US","3714","49","07","                    ","BDS"
"P010031259","0000220238",31-JUL-17,"US","2851","45","07","                    ","BDS"
"P010031274","0000E976F5",31-JUL-17,"US","7389","44","07","                    ","BDS"
"P010031324","0000072383",31-JUL-17,"US","5013","33","07","                    ","UDS"
"P010031324","0000681153",31-JUL-17,"US","4212","55","03","                    ","BDS"
"P010031324","0000E9445V",31-JUL-17,"US","    ","33","07","                    ","BDS"
"P020031133","00005X4729",31-JUL-17,"US","5072","45","07","                    ","LDS"
"P020031283","00005R11R9",31-JUL-17,"US","    ","55","03","                    ","UDS"
"P030031206","0000V22R46",31-JUL-17,"US","4813","92","03","                    ","BDS"
"P030031211","0000W7842R",31-JUL-17,"US","    ","86","03","                    ","BDS"
"P050031046","000023566R",31-JUL-17,"US","5699","20","07","                    ","SDS"
"P620031797","0000A2736X",31-JUL-17,"US","5082","20","07","                    ","UDS"
"P000022997","0000453VX9",31-JUL-17,"US","5661","46","03","                    ","UDS"
"P010031242","0000324704",31-JUL-17,"US","3714","45","07","                    ","LDS"
"P010031242","0000731778",31-JUL-17,"US","3714","12","03","                    ","RDS"
"P010031324","00004009YF",31-JUL-17,"US","5084","49","07","                    ","RDS"
"P010031324","0000604669",31-JUL-17,"US","3713","46","03","                    ","BDS"
"P010031324","0000013031",31-JUL-17,"US","5013","36","07","                    ","BDS"
"P010031324","0000291134",31-JUL-17,"US","3621","33","07","                    ","BDS"
"P010031324","0000WA4178",31-JUL-17,"US","5013","64","07","                    ","BDS"
"P020031222","0000648684",31-JUL-17,"US","4215","12","03","                    ","BDS"
"P030031211","000005VF73",31-JUL-17,"US","5999","86","03","                    ","BDS"
"P030031386","TEM0813885",31-JUL-17,"US","9999","36","07","                    ","SDS"
"P040031190","0000878V28",31-JUL-17,"US","8734","64","07","                    ","UDS"
"P090031110","0000532882",31-JUL-17,"US","7699","55","03","                    ","UDS"
"P090031110","00005V5A66",31-JUL-17,"US","7699","55","03","                    ","UDS"
"P120031482","0000010X54",31-JUL-17,"US","4215","36","07","                    ","BDS"
"P000022997","0000W4W660",31-JUL-17,"US","    ","46","03","                    ","UDS"
"P000023066","0000X7X327",31-JUL-17,"US","6411","92","03","                    ","SDS"
"P010031259","0000203967",31-JUL-17,"US","2851","46","03","                    ","BDS"
"P010031324","0000184161",31-JUL-17,"US","5013","32","07","                    ","BDS"
"P020031236","0000E250X3",31-JUL-17,"US","2842","33","07","                    ","BDS"
"P020031249","000026E7E2",31-JUL-17,"US","7389","86","03","                    ","BDS"
"P030031211","0000A755V0",31-JUL-17,"US","5599","12","03","                    ","BDS"
"P040031166","000042X076",31-JUL-17,"US","5734","64","07","                    ","BDS"
"P000023012","0000X947A6",31-JUL-17,"US","7542","45","07","                    ","BDS"
"P010031259","0000580778",31-JUL-17,"US","2851","56","03","                    ","UDS"
"P010031324","0000R22R49",31-JUL-17,"US","5531","95","03","                    ","SDS"
"P010031324","0000438461",31-JUL-17,"US","4212","49","07","                    ","RDS"
"P010031324","000064XW98",31-JUL-17,"US","5012","95","03","                    ","SDS"
"P050031055","000057W0V6",31-JUL-17,"US","7389","45","07","                    ","BDS"
"P000023016","0000978701",31-JUL-17,"US","5199","92","03","                    ","SDS"
"P010031242","00004X6871",31-JUL-17,"US","3714","49","07","                    ","BDS"
"P010031242","0000436746",31-JUL-17,"US","3714","49","07","                    ","LDS"
"P010031242","0000444465",31-JUL-17,"US","3564","49","07","                    ","RDS"
"P010031259","0000E2382E",31-JUL-17,"US","2851","40","07","                    ","BDS"
"P010031324","0000441864",31-JUL-17,"US","3599","49","07","                    ","RDS"
"P010031324","0000442446",31-JUL-17,"US","5013","49","07","                    ","UDS"
"P010031324","0000624E42",31-JUL-17,"US","4212","12","03","                    ","BDS"
"P010031328","0000V07262",31-JUL-17,"US","5699","36","07","                    ","BDS"
"P010031362","000057E620",31-JUL-17,"US","5571","95","03","                    ","LDS"
"P030031211","0000W08Y04",31-JUL-17,"US","5963","33","07","                    ","UDS"
"P040031234","00006A35T7",31-JUL-17,"US","2396","36","07","                    ","SDS"
"P040031234","0000E175W7",31-JUL-17,"US","8742","20","07","                    ","UDS"
"P000023066","00001326W1",31-JUL-17,"US","6411","86","03","                    ","SDS"
"P000023069","0000A1V904",31-JUL-17,"US","5531","76","03","                    ","RDS"
"P010031129","0000E71653",31-JUL-17,"US","3675","86","03","                    ","UDS"
"P010031250","000071AV51",31-JUL-17,"US","5719","36","07","                    ","BDS"
"P010031384","00004E3E19",31-JUL-17,"US","    ","64","07","                    ","BDS"
"P020031217","00004E382F",31-JUL-17,"US","    ","92","03","                    ","UDS"
"P030031177","00002A4534",31-JUL-17,"US","    ","76","03","                    ","BDS"
"P030031211","000089Y914",31-JUL-17,"US","    ","86","03","                    ","BDS"
"P030031211","00006V9685",31-JUL-17,"US","    ","55","03","                    ","BDS"
"P040031096","0000X8584W",31-JUL-17,"US","    ","20","07","                    ","UDS"
"P040031275","000029X806",31-JUL-17,"US","5099","45","07","                    ","LDS"
"P040031356","00002FE023",31-JUL-17,"US","5961","92","03","                    ","BDS"
"P040031369","00005067AR",31-JUL-17,"US","5045","64","07","                    ","BDS"
"P000023012","0000226R66",31-JUL-17,"US","    ","44","07","                    ","BDS"
"P010031324","0000127038",31-JUL-17,"US","5013","36","07","                    ","UDS"
"P010031324","000030024F",31-JUL-17,"US","    ","45","07","                    ","BDS"
"P010031324","0000Y7291R",31-JUL-17,"US","3713","55","03","                    ","BDS"
"P020031400","000023R790",31-JUL-17,"US","1541","76","03","                    ","RDS"
"P030031209","0000206352",31-JUL-17,"US","5094","36","07","                    ","SDS"
"P030031211","00001AY238",31-JUL-17,"US","    ","55","03","                    ","BDS"
"P030031331","TEM0812437",31-JUL-17,"US","9999","40","07","                    ","UDS"
"P040031346","00005RX776",31-JUL-17,"US","4841","95","03","                    ","UDS"
"P040031395","000008X1V5",31-JUL-17,"US","7389","12","03","                    ","LDS"
"P75FY31822","0000123456",31-JUL-17,"US","3571","33","07","                    ","UNK"
"P040031089","00002600XX",31-JUL-17,"US","2522","64","07","                    ","BDS"
"P040031369","000016A34V",31-JUL-17,"US","    ","64","07","                    ","BDS"
"P040031381","0000184E97",31-JUL-17,"US","    ","33","07","                    ","BDS"
"P730031704","0000123456",31-JUL-17,"US","3571","33","07","                    ","UNK"
